# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 44685728552
#
# Overhead       Samples        Period  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            IPC   [IPC Coverage]
# ........  ............  ............  .......  .................................................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    24.44%           861   10922530962  python   libframel-9cd69e87.so.8.43.1                       [.] Frz_inflate_fast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     7.24%           281    3235371595  python   libmkl_core.so                                     [.] mkl_serv_libm_sincospif                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     6.41%           223    2866312113  python   libframel-9cd69e87.so.8.43.1                       [.] FrCksumGnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     3.75%           159    1677209253  python   python3.11                                         [.] _PyEval_EvalFrameDefault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     3.40%           120    1520198042  python   libframel-9cd69e87.so.8.43.1                       [.] Frz_adler32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     2.07%            83     924634268  python   libmkl_core.so                                     [.] mkl_serv_libm_sin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     2.03%            79     906625356  python   libcrypto.so.3                                     [.] sha256_block_data_order_shaext                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     1.88%            65     839626609  python   python3.11                                         [.] gc_collect_main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     1.69%            57     756513006  python   libmkl_core.so                                     [.] mkl_serv_libm_cos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     1.25%            52     557236497  python   python3.11                                         [.] _Py_dict_lookup                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     1.10%            39     489984167  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterREAL4Vector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     1.08%            36     480768401  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterReverseREAL4Vector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     1.03%            37     459041580  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterREAL8Vector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.98%            33     438798821  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterReverseREAL8Vector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.82%            29     367701549  python   python3.11                                         [.] visit_reachable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.82%            28     367555801  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] handle_scalar                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.77%            26     343783353  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so  [.] int introselect_<npy::float_tag, false, float>(float*, long*, long, long, long*, long*) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
