# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 44762684998
#
# Overhead       Samples        Period  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ............  ............  .......  .................................................  .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    24.65%           870   11034216447  python   libframel-9cd69e87.so.8.43.1                       [.] Frz_inflate_fast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     7.40%           286    3311475245  python   libmkl_core.so                                     [.] mkl_serv_libm_sincospif                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     6.41%           223    2868614991  python   libframel-9cd69e87.so.8.43.1                       [.] FrCksumGnu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     3.78%           159    1690369771  python   python3.11                                         [.] _PyEval_EvalFrameDefault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     3.17%           112    1417861700  python   libframel-9cd69e87.so.8.43.1                       [.] Frz_adler32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     2.12%            86     948729784  python   libmkl_core.so                                     [.] mkl_serv_libm_sin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     2.10%            82     940513363  python   libcrypto.so.3                                     [.] sha256_block_data_order_shaext                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     1.86%            63     832086594  python   python3.11                                         [.] gc_collect_main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     1.77%            60     792522431  python   libmkl_core.so                                     [.] mkl_serv_libm_cos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     1.38%            57     616264856  python   python3.11                                         [.] _Py_dict_lookup                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     1.15%            41     515217831  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterREAL4Vector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     1.04%            35     465417460  python   liblal-8f7cb511.so.20.3.2                          [.] XLALIIRFilterReverseREAL8Vector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
